S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
-3.125,-0.375,0.25,0.75,3.625,2.375,-0.75,1.75,2
-0.5,-1.625,-1.5,-1.125,-0.25,0.875,-1.75,-1.375,2
-1.375,-2.0,-1.625,-2.0,-2.125,1.0,0.125,0.875,1
2.875,-2.375,-0.625,-1.0,-0.75,-4.75,-1.25,1.875,2
6.125,-0.125,-0.125,-0.125,-0.25,-4.0,-1.0,0.0,1
-4.125,-2.125,-2.625,-1.5,-0.25,-10.0,-2.75,1.625,3
-0.125,-0.25,-1.0,-0.75,-3.25,-2.0,-1.0,0.25,1
-2.0,-3.625,-2.125,-1.0,1.0,5.0,0.375,1.0,2
-0.5,-0.75,-0.625,-0.875,-3.625,-5.5,-0.125,2.25,3
-2.0,-0.125,-0.5,0.75,2.5,4.625,0.0,-6.625,3
1.125,1.25,0.125,-0.125,4.25,1.875,-1.625,-1.75,1
2.125,0.625,-1.75,-4.75,-3.375,-0.125,-6.875,-1.375,0
-2.0,-1.375,-1.75,-2.125,-3.0,-8.0,-1.5,-3.125,3
-1.25,-3.375,-1.25,0.875,1.0,0.75,-1.125,-1.5,2
1.125,4.125,-1.375,-1.375,-0.875,-3.5,-8.25,7.25,0
1.375,-0.25,-0.75,-1.625,-7.0,-4.125,-2.625,-3.5,2
0.75,-0.125,-0.625,0.375,-4.5,-8.625,0.5,0.25,3
0.25,-0.375,-1.125,-1.125,0.875,1.75,0.375,0.875,3
-1.125,-0.5,-0.125,0.25,-0.625,-1.25,-0.25,1.0,3
-2.375,0.0,-1.75,-1.375,5.875,6.5,0.0,-1.875,1
-3.25,-13.625,-2.5,-0.125,3.625,-2.5,-1.25,-0.375,2
-0.75,-0.5,-0.375,-2.375,0.375,-5.125,-5.25,-3.375,0
2.5,-0.75,-0.25,-0.625,-2.25,-6.25,1.0,2.0,2
-2.25,-2.0,-1.75,-1.625,1.625,4.625,0.0,-2.25,3
6.125,1.375,-0.5,-3.0,-2.375,0.25,-1.25,0.875,2
-7.625,-0.625,-0.5,-1.625,5.0,-6.375,-0.625,-0.625,2
0.0,-0.25,-1.0,-0.625,1.75,-2.5,-2.25,-4.75,3
2.25,0.0,0.0,-0.75,-1.5,-6.625,-1.25,-0.25,1
-1.75,2.75,-0.75,-0.75,7.375,0.5,-10.375,-3.75,0
1.0,-0.875,0.25,1.375,8.125,6.5,-0.5,0.375,1
-2.375,-0.25,-0.125,-0.625,-1.0,-3.625,-2.625,-1.5,3
0.75,5.0,0.75,-0.75,0.125,-2.25,0.75,1.0,0
1.375,0.0,-1.125,0.625,1.5,4.0,0.375,4.375,2
5.625,0.25,-1.25,-3.625,1.5,-11.125,-3.875,-4.25,3
5.625,-4.375,-0.25,-0.5,-2.125,1.5,0.625,-1.75,2
0.5,2.0,-1.5,-0.375,-2.25,8.125,0.5,2.125,2
3.75,0.25,0.375,-0.5,-4.75,-6.375,-0.625,-0.75,1
-4.25,-1.375,-1.375,-0.875,-5.0,-0.875,-0.75,-2.625,1
-3.0,-1.625,-0.875,-1.75,3.625,-1.625,-0.375,1.375,1
1.25,1.125,-1.0,-2.0,-2.375,0.375,-0.25,2.0,2
-3.125,-1.125,-2.125,-2.25,4.875,4.125,-1.75,-3.125,1
0.625,2.75,-1.625,-0.75,4.875,3.625,0.0,4.75,2
3.375,-1.0,-0.75,-0.875,7.25,1.75,-0.625,-0.25,1
-3.25,-0.625,0.75,0.375,-5.125,-2.375,-0.5,-3.125,1
-1.375,0.5,-1.25,-2.5,-0.125,-10.375,-2.5,-1.625,3
1.125,6.875,-1.875,-1.625,-2.75,-5.375,-1.0,-1.25,2
-2.5,-0.75,0.125,0.875,0.0,1.75,6.5,1.0,0
-4.375,-3.75,-3.25,-1.625,0.5,-4.25,-1.0,1.0,2
-3.5,-1.75,-1.0,0.625,2.125,-3.875,6.875,3.0,0
-4.0,-2.125,-1.5,-1.125,-0.25,-0.375,-2.0,-0.75,2
1.875,0.0,-0.625,-0.625,0.75,0.875,-2.125,-1.75,1
4.5,0.125,0.25,-1.0,-2.875,-2.75,-0.5,0.125,1
-1.0,-0.75,-1.0,-1.25,0.25,-1.5,0.5,0.375,1
-0.625,-1.125,-0.5,-0.375,-0.125,-6.375,-1.5,2.75,3
1.0,0.125,-2.0,-3.0,-0.625,-18.0,-5.375,-1.5,3
-2.0,-3.625,-0.25,0.25,-0.125,8.125,0.5,0.75,2
0.875,-1.125,-1.0,-0.625,5.375,9.0,0.25,-0.75,1
3.0,-1.625,0.625,1.0,-2.125,-4.0,-1.75,1.25,2
-3.0,-2.125,-1.5,-0.125,1.0,-1.5,-0.625,-1.5,1
-3.375,3.5,2.375,0.75,4.0,-0.5,-0.875,-1.125,2
-2.875,-1.25,-1.5,-0.5,0.875,-1.625,-13.625,-5.0,0
0.5,0.125,-0.75,-0.125,-0.625,-2.125,-0.875,0.25,1
-6.375,-0.875,-0.375,-0.5,-1.25,-0.375,-1.25,-1.375,0
