Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Filtreleme Atlandı
Dengeleme Atlandı
Özellik Çıkarımı Atlandı
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 232/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 233/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 234/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 235/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 236/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 237/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 238/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 239/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 240/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 241/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 242/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 243/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 244/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 245/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 246/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 247/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 248/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 249/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 250/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 251/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 252/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 253/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 254/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 255/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 256/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 257/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 258/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 259/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 260/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 261/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 262/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 263/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 264/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 265/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 266/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 267/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 268/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 269/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 270/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 271/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 272/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 273/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 274/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 275/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 276/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 277/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 278/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 279/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 280/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 281/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 282/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 283/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 284/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 285/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 286/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 287/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 288/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 289/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 290/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 291/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 292/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 293/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 294/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 295/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 296/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 297/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 298/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 299/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 300/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
