MAV,RMS,WL,ZC,Gesture_Class
12.546875,20.05656064732934,1163.0,32,0
9.734375,14.546799476173444,751.0,23,3
4.625,6.896557112066861,398.0,24,0
6.5625,8.942524811259961,529.0,26,2
9.84375,16.60007530103403,848.0,28,1
9.4375,15.611494162955703,826.0,30,1
10.203125,15.357713859816506,823.0,21,0
10.875,16.187379343179675,1016.0,25,3
12.34375,21.129067655720164,964.0,25,3
7.375,12.784267675545596,612.0,24,1
12.375,21.02156630700957,1137.0,27,0
14.4375,27.33301575018754,1321.0,32,0
13.65625,20.991069529683333,979.0,19,1
14.265625,19.953461479151933,998.0,22,3
7.296875,12.98857671186493,579.0,31,3
7.109375,10.438061362149583,665.0,38,1
9.234375,11.981104915657822,740.0,30,2
5.96875,9.395810236483067,447.0,25,1
21.25,31.304951684997057,1518.0,22,0
7.765625,13.468133686595184,627.0,23,3
7.671875,15.236161754195182,516.0,23,3
13.59375,18.44925472749509,1115.0,28,0
6.46875,10.25,569.0,28,1
11.484375,18.168912322976297,1072.0,29,2
10.15625,16.221128197508335,840.0,27,2
9.625,12.013013776733963,796.0,31,2
14.84375,23.205602771744587,1175.0,23,3
8.296875,11.839420382772122,734.0,26,0
26.4375,41.46157859995203,2164.0,26,0
9.59375,14.325458107858191,788.0,25,1
13.796875,18.166332183465105,1134.0,30,3
6.375,10.107237505866774,519.0,26,3
6.28125,12.20143434191243,478.0,30,1
6.875,9.0571104663684,557.0,26,2
8.375,14.589165500466434,682.0,25,3
8.671875,11.782534744272983,690.0,26,2
15.21875,23.471392161522928,1159.0,23,0
15.6875,26.749415881473002,1252.0,19,3
10.0625,15.765865025427562,914.0,30,2
13.953125,18.976548026445695,1127.0,25,0
6.4375,9.847271195615566,449.0,13,3
7.34375,12.814786381364303,568.0,24,3
6.28125,11.685995892520243,578.0,26,3
6.65625,10.671222985206523,462.0,21,3
10.1875,15.474777865933973,905.0,26,2
9.5,13.782915148835531,789.0,29,3
8.234375,11.957607411183895,642.0,22,1
11.59375,17.43380337161114,1017.0,29,2
9.109375,14.595054813189295,803.0,25,3
7.28125,10.618380290797651,592.0,24,3
8.5625,17.18374959081981,694.0,20,3
6.15625,9.228014412645875,578.0,42,1
17.765625,27.474135564199287,1511.0,18,0
11.28125,15.518134552838495,895.0,28,2
13.328125,21.91852812120376,951.0,19,2
11.125,15.159567935795533,783.0,25,2
